"division.id","division.house","division.name","division.date","division.number","division.clock_time","division.aye_votes","division.no_votes","division.possible_turnout","division.rebellions","division.edited","vote","strong","policy_id","policy_name"
696,"rada","Поіменне голосування  про проект Постанови про надання згоди на призначення Президентом України Шокіна В.М. на посаду Генерального прокурора України (№2084) - за основу та в цілому","2015-02-10",696,"14:07",318,46,423,22,TRUE,"aye",TRUE,40,"За політичний курс Президента"
695,"rada","Поіменне голосування  про проект Постанови про надання згоди на звільнення Президентом України Яреми В.Г. з посади Генерального прокурора України (№2083) - в цілому","2015-02-10",695,"13:18",291,0,423,51,TRUE,"aye",TRUE,40,"За політичний курс Президента"
1035,"rada","Поіменне голосування  про проект Закону про Рахункову палату (№2072) - за основу","2015-03-05",1035,"11:39",282,0,403,28,TRUE,"aye",TRUE,40,"За політичний курс Президента"
601,"rada","Поіменне голосування  про проект Постанови про направлення до Конституційного Суду України законопроекту про внесення змін до Конституції України (щодо недоторканності народних депутатів України та суддів) (№1776/П1) - за основу та в цілому","2015-02-05",601,"11:54",365,1,423,6,TRUE,"aye",TRUE,40,"За політичний курс Президента"
412,"rada","Поіменне голосування  про проект Закону про затвердження Указу Президента України ""Про часткову мобілізацію"" (№1743) - за основу та в цілому","2015-01-15",412,"11:37",268,1,420,23,TRUE,"aye",TRUE,40,"За політичний курс Президента"
325,"rada","Поіменне голосування  про проект Закону про забезпечення права на справедливий суд (№1656) - за основу","2015-01-13",325,"11:26",288,2,423,42,TRUE,"aye",TRUE,40,"За політичний курс Президента"
803,"rada","Поіменне голосування  про проект Закону про забезпечення права на справедливий суд (№1656) - у другому читанні та в цілому","2015-02-12",803,"16:45",251,10,424,37,TRUE,"aye",TRUE,40,"За політичний курс Президента"
120,"rada","Поіменне голосування  про проект Закону про внесення змін до Закону України ""Про Раду національної безпеки і оборони України"" щодо вдосконалення координації і контролю у сфері національної безпеки і оборони (№1343) - за основу","2014-12-11",120,"13:47",316,3,422,24,TRUE,"aye",TRUE,40,"За політичний курс Президента"
210,"rada","Поіменне голосування  про проект Закону про внесення змін до Закону України ""Про Раду національної безпеки і оборони України"" щодо вдосконалення координації і контролю у сфері національної безпеки і оборони (№1343) - у другому читанні та в цілому","2014-12-25",210,"10:22",253,9,423,59,TRUE,"aye",TRUE,40,"За політичний курс Президента"
55,"rada","Поіменне голосування  про проект Постанови про призначення Полторака С.Т. Міністром оборони України (№1167) - за основу та в цілому","2014-12-02",55,"18:08",347,0,412,8,TRUE,"aye",TRUE,40,"За політичний курс Президента"
54,"rada","Поіменне голосування  про проект Постанови про призначення Клімкіна П.А. Міністром закордонних справ України (№1166) - за основу та в цілому","2014-12-02",54,"17:58",351,0,412,4,TRUE,"aye",TRUE,40,"За політичний курс Президента"
187,"rada","Поіменне голосування  про проект Закону про внесення змін до деяких законів України щодо відмови України від здійснення політики позаблоковості (№1014-3) - за основу та в цілому","2014-12-23",187,"12:13",303,8,423,48,TRUE,"aye",TRUE,40,"За політичний курс Президента"
25,"rada","Поіменне голосування  про проект Постанови про призначення Яценюка А.П. Прем'єр-міністром України (№1007) - за основу та в цілому","2014-11-27",25,"14:59",341,2,419,22,TRUE,"aye",TRUE,40,"За політичний курс Президента"
1207,"rada","Поіменне голосування  про проект Закону про внесення змін до Закону України ""Про військовий обов'язок і військову службу"" щодо служби у військовому резерві в особливий період (№2377) - за основу та в цілому","2015-03-19",1207,"11:41",273,0,424,36,TRUE,"aye",TRUE,40,"За політичний курс Президента"
1134,"rada","Поіменне голосування  про проект Закону про внесення зміни до статті 10 Закону України ""Про особливий порядок місцевого самоврядування в окремих районах Донецької та Луганської областей"" (№2378) - за основу та в цілому","2015-03-17",1134,"17:48",265,32,424,34,TRUE,"aye",TRUE,40,"За політичний курс Президента"
1138,"rada","Поіменне голосування  про проект Постанови про схвалення звернення від імені України до Ради Безпеки Організації Об'єднаних Націй та Ради Європейського  Союзу стосовно розгортання на території України міжнародної операції з підтримання миру і безпеки (№2379) - за основу та в цілому","2015-03-17",1138,"17:55",341,0,424,12,TRUE,"aye",TRUE,40,"За політичний курс Президента"
3996,"rada","Сигнальне голосування  про проект Закону про внесення змін до деяких законодавчих актів України щодо сплати судового збору (№2382а)","2015-10-08",3996,"10:48",212,6,427,63,TRUE,"aye",FALSE,40,"За політичний курс Президента"
3997,"rada","Сигнальне голосування  про проект Закону про внесення змін до деяких законодавчих актів України щодо сплати судового збору (№2382а)","2015-10-08",3997,"10:51",202,5,427,66,TRUE,"aye",FALSE,40,"За політичний курс Президента"
3998,"rada","Сигнальне голосування  про проект Закону про внесення змін до деяких законодавчих актів України щодо сплати судового збору (№2382а)","2015-10-08",3998,"10:52",208,4,427,61,TRUE,"aye",FALSE,40,"За політичний курс Президента"
3999,"rada","Поіменне голосування  про проект Закону про внесення змін до деяких законодавчих актів України щодо сплати судового збору (№2382а) - за основу","2015-10-08",3999,"10:57",217,9,427,55,TRUE,"aye",TRUE,40,"За політичний курс Президента"
3995,"rada","Поіменне голосування  про розгляд за скороченою процедурою проекту Закону про внесення змін до деяких законодавчих актів України щодо сплати судового збору (№2382а)","2015-10-08",3995,"10:12",127,19,427,88,TRUE,"aye",TRUE,40,"За політичний курс Президента"
4000,"rada","Поіменне голосування  про повернення до розгляду проекту Закону про внесення змін до деяких законодавчих актів України щодо сплати судового збору (№2382а)","2015-10-08",4000,"10:57",205,41,427,56,TRUE,"aye",FALSE,40,"За політичний курс Президента"
1404,"rada","Поіменне голосування  про проект Закону про внесення зміни до Закону України ""Про Державну прикордонну службу України"" (№2471) - за основу та в цілому","2015-04-09",1404,"10:51",253,0,424,84,TRUE,"aye",TRUE,40,"За політичний курс Президента"
1406,"rada","Поіменне голосування  про проект Закону про внесення зміни до Закону України ""Про загальну структуру і чисельність Служби безпеки України"" (№2472) - за основу та в цілому","2015-04-09",1406,"11:05",268,0,424,71,TRUE,"aye",TRUE,40,"За політичний курс Президента"
4008,"rada","Поіменне голосування  про проект Закону про особливості доступу до інформації у сферах постачання електричної енергії, природного газу, теплопостачання, централізованого постачання гарячої води, централізованого питного водопостачання та водовідведення (№2505а) - за основу","2015-10-08",4008,"11:59",256,0,427,51,TRUE,"aye",TRUE,40,"За політичний курс Президента"
5146,"rada","Поіменне голосування  про проект Закону про особливості доступу до інформації у сферах постачання електричної енергії, природного газу, теплопостачання, централізованого постачання гарячої води, централізованого питного водопостачання та водовідведення (№2505а) - у другому читанні та в цілому","2015-12-10",5146,"10:18",242,0,427,78,TRUE,"aye",TRUE,40,"За політичний курс Президента"
4002,"rada","Сигнальне голосування  про проект Закону про органи та осіб, які здійснюють примусове виконання судових рішень і рішень інших органів (№2506а)","2015-10-08",4002,"11:14",234,13,427,53,TRUE,"aye",FALSE,40,"За політичний курс Президента"
4003,"rada","Поіменне голосування  про проект Закону про органи та осіб, які здійснюють примусове виконання судових рішень і рішень інших органів (№2506а) - за основу","2015-10-08",4003,"11:15",246,15,427,67,TRUE,"aye",TRUE,40,"За політичний курс Президента"
4005,"rada","Поіменне голосування  про проект Закону про виконавче провадження (№2507а) - за основу","2015-10-08",4005,"11:37",249,15,427,68,TRUE,"aye",TRUE,40,"За політичний курс Президента"
1408,"rada","Поіменне голосування  про проект Закону про правовий режим воєнного стану (№2541) - за основу","2015-04-09",1408,"11:23",258,0,424,72,TRUE,"aye",TRUE,40,"За політичний курс Президента"
1858,"rada","Поіменне голосування  про проект Закону про правовий режим воєнного стану (№2541) - у другому читанні та в цілому","2015-05-12",1858,"16:56",254,1,425,36,TRUE,"aye",TRUE,40,"За політичний курс Президента"
